CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
9.39,10.35,8.43,7.601,19.4,59.5
7.33,8.75,5.91,7.700,20.8,60.0
8.46,8.25,8.67,7.800,21.4,58.8
10.18,8.10,12.25,7.900,22.2,56.7
70.63,71.60,69.66,0.000,20.5,63.8
70.57,71.74,69.40,0.100,20.4,63.8
70.29,71.44,69.14,0.199,20.3,63.8
70.24,71.24,69.25,0.299,20.3,63.8
70.76,71.89,69.62,0.400,20.3,63.8
70.81,71.95,69.66,0.503,20.3,63.8
71.07,71.89,70.25,0.599,20.3,63.8
70.69,71.70,69.68,0.700,20.3,63.8
71.16,72.52,69.80,0.800,20.3,63.8
70.95,72.41,69.50,0.900,20.3,63.8
70.66,71.71,69.62,0.999,20.3,63.8
70.45,71.47,69.43,1.100,20.3,63.8
70.17,71.03,69.32,1.200,20.3,63.8
69.92,71.08,68.77,1.300,20.3,63.8
69.62,71.00,68.25,1.399,20.2,63.8
69.14,70.39,67.88,1.500,20.3,63.8
68.74,69.93,67.55,1.600,20.3,63.8
68.41,69.20,67.62,1.699,20.3,63.8
,,,1.799,,
67.14,68.64,65.64,1.900,20.3,63.8
65.92,66.99,64.85,2.000,20.3,63.8
65.52,66.94,64.11,2.100,20.2,63.8
65.21,66.51,63.91,2.200,20.3,63.8
64.78,67.02,62.54,2.300,20.3,63.8
64.12,65.75,62.49,2.400,20.3,63.8
63.21,64.86,61.56,2.500,20.3,63.8
62.24,63.88,60.59,2.600,20.3,63.8
62.17,63.86,60.48,2.700,20.3,63.8
61.29,63.58,59.00,2.800,20.3,63.8
60.52,62.39,58.66,2.900,20.3,63.8
59.78,61.69,57.88,3.000,20.3,63.8
58.88,61.08,56.69,3.100,20.3,63.8
57.78,59.14,56.42,3.199,20.3,63.8
57.49,59.04,55.94,3.299,20.3,63.8
56.39,57.99,54.79,3.400,20.3,63.8
55.24,57.14,53.34,3.500,20.3,63.8
54.17,55.14,53.19,3.599,20.2,63.8
53.84,55.51,52.17,3.699,20.3,63.8
52.41,53.63,51.19,3.800,20.3,63.8
51.20,52.47,49.93,3.900,20.3,63.8
51.88,53.56,50.19,3.999,20.3,63.8
49.85,51.31,48.38,4.100,20.2,63.8
49.35,50.51,48.19,4.200,20.3,63.8
48.33,50.05,46.61,4.300,20.3,63.8
47.36,49.08,45.65,4.400,20.3,63.8
46.79,47.82,45.76,4.500,20.2,63.7
45.57,46.97,44.17,4.600,20.3,63.8
44.19,45.86,42.52,4.699,20.3,63.8
42.97,44.38,41.56,4.799,20.3,63.8
42.42,44.14,40.69,4.900,20.3,63.8
41.68,43.71,39.66,5.000,20.3,63.7
39.48,41.43,37.53,5.100,20.3,63.9
39.31,40.41,38.21,5.199,20.3,63.8
38.38,39.53,37.22,5.300,20.3,63.8
36.44,37.01,35.88,5.400,20.2,63.8
36.36,38.24,34.48,5.500,20.3,63.8
34.75,35.33,34.17,5.599,20.2,63.8
33.89,34.48,33.30,5.700,20.2,63.7
31.92,32.76,31.08,5.800,20.4,63.7
31.69,32.57,30.80,5.899,20.4,63.6
32.01,34.89,29.14,6.000,20.7,63.6
30.07,32.19,27.95,6.100,20.8,63.4
28.04,30.55,25.52,6.200,20.8,63.5
27.23,29.36,25.10,6.300,21.0,63.4
25.71,27.61,23.80,6.400,21.0,63.3
24.56,26.77,22.34,6.500,21.0,63.3
23.59,26.08,21.10,6.599,21.2,63.2
22.73,25.68,19.78,6.699,21.4,63.2
20.63,24.18,17.08,6.800,21.2,63.3
19.81,22.80,16.83,6.900,21.4,63.2
18.70,20.73,16.67,6.999,21.4,62.3
16.78,19.98,13.57,7.100,21.5,63.1
16.28,18.25,14.32,7.200,21.4,62.8
15.81,17.57,14.06,7.300,21.6,62.6
15.22,17.03,13.42,7.399,21.7,62.4
14.46,15.16,13.77,7.499,21.8,62.2
12.89,14.18,11.59,7.600,22.7,61.9
11.12,13.38,8.86,7.699,22.1,61.5
11.16,12.15,10.17,7.799,22.7,60.7
9.96,14.47,5.45,7.900,24.1,59.0
,,,8.000,,
72.07,71.22,72.93,0.000,17.2,60.8
72.35,72.10,72.61,0.100,17.2,60.8
72.05,71.64,72.47,0.200,17.2,60.8
72.05,71.36,72.74,0.300,17.2,60.8
72.32,71.46,73.19,0.400,17.2,60.8
72.06,70.86,73.27,0.500,17.2,60.8
71.90,70.99,72.80,0.600,17.2,60.8
71.61,70.89,72.33,0.699,17.2,60.8
71.00,70.09,71.92,0.800,17.2,60.8
70.83,70.19,71.46,0.900,17.2,60.8
70.39,69.46,71.32,1.000,17.2,60.8
70.22,69.58,70.85,1.099,17.2,60.8
69.03,68.00,70.07,1.200,17.2,60.8
68.73,67.85,69.62,1.300,17.2,60.8
67.75,66.94,68.57,1.400,17.2,60.8
67.61,66.92,68.30,1.500,17.2,60.8
67.06,66.75,67.37,1.600,17.2,60.8
66.50,66.02,66.97,1.700,17.2,60.8
65.52,64.61,66.44,1.799,17.2,60.8
64.57,63.80,65.35,1.899,17.2,60.8
62.93,61.57,64.28,2.000,17.2,60.7
62.69,61.97,63.40,2.100,17.2,60.8
61.71,60.95,62.47,2.200,17.2,60.8
61.26,60.15,62.37,2.300,17.2,60.8
60.27,59.77,60.78,2.400,17.2,60.8
59.45,58.33,60.57,2.501,17.2,60.8
58.34,56.94,59.74,2.599,17.2,60.8
58.00,56.92,59.08,2.700,17.2,60.8
57.10,56.02,58.19,2.800,17.2,60.8
56.11,55.28,56.95,2.899,17.2,60.8
54.99,53.47,56.52,2.999,17.2,60.8
53.90,52.76,55.04,3.100,17.2,60.8
53.31,52.44,54.19,3.200,17.2,60.8
52.17,51.24,53.10,3.300,17.2,60.8
51.68,51.02,52.34,3.399,17.2,60.8
50.41,49.20,51.62,3.501,17.2,60.8
50.24,49.03,51.44,3.600,17.2,60.7
49.48,49.39,49.57,3.699,17.3,60.8
48.02,47.52,48.52,3.800,17.2,60.8
46.54,45.48,47.60,3.900,17.2,60.8
45.95,45.17,46.73,4.000,17.3,60.7
44.89,43.80,45.97,4.099,17.3,60.7
43.76,42.72,44.79,4.200,17.3,60.8
43.46,42.85,44.07,4.300,17.3,60.7
41.83,40.95,42.72,4.400,17.3,60.7
41.11,40.44,41.77,4.500,17.3,60.8
39.76,38.64,40.88,4.600,17.3,60.7
38.62,37.68,39.55,4.700,17.2,60.7
37.27,35.91,38.63,4.799,17.2,60.7
36.18,35.12,37.24,4.900,17.3,60.6
35.06,33.59,36.53,5.000,17.2,60.6
33.51,31.80,35.21,5.100,17.2,60.7
32.48,31.96,33.00,5.200,17.3,60.8
30.85,29.07,32.63,5.299,17.1,60.7
29.96,28.33,31.59,5.400,17.3,60.7
29.43,28.03,30.82,5.500,17.2,60.7
27.51,26.44,28.58,5.599,17.2,60.7
26.57,25.91,27.23,5.700,17.4,60.7
26.47,27.33,25.62,5.800,17.6,60.7
24.77,24.36,25.18,5.899,17.7,60.6
24.02,23.62,24.42,5.999,17.6,60.6
23.35,23.05,23.65,6.100,17.8,60.5
21.83,21.17,22.49,6.200,17.8,60.4
20.67,19.96,21.38,6.300,17.9,60.3
18.80,18.26,19.33,6.400,17.9,60.3
16.76,16.15,17.37,6.500,18.0,60.3
15.97,14.98,16.97,6.599,18.0,60.2
14.55,14.48,14.63,6.700,18.2,60.3
12.44,11.05,13.82,6.800,18.0,60.2
11.00,9.84,12.16,6.899,18.1,60.1
8.11,7.46,8.76,7.000,18.6,60.3
9.40,9.13,9.67,7.100,19.1,59.9
8.50,9.89,7.11,7.199,20.1,59.4
14.20,12.87,15.53,7.299,21.3,57.3
18.27,20.98,15.55,7.400,23.7,56.3
29.91,31.40,28.41,7.500,25.2,54.8
,,,7.599,,
68.16,69.75,66.57,0.000,17.6,61.9
67.93,69.26,66.59,0.100,17.5,61.9
68.57,70.01,67.13,0.199,17.6,61.8
68.09,69.09,67.10,0.300,17.6,61.8
68.51,70.29,66.73,0.400,17.6,61.9
67.94,69.82,66.07,0.501,17.5,61.9
68.04,69.16,66.93,0.600,17.5,61.8
68.19,69.36,67.01,0.700,17.5,61.8
68.04,69.64,66.44,0.800,17.6,61.9
68.09,69.16,67.02,0.901,17.5,61.8
68.11,69.13,67.09,1.000,17.5,61.9
68.33,69.42,67.25,1.100,17.6,61.8
68.03,69.17,66.88,1.200,17.5,61.9
67.83,69.05,66.60,1.300,17.6,61.9
67.98,69.31,66.65,1.400,17.6,61.8
68.18,69.76,66.59,1.500,17.6,61.9
68.10,69.25,66.94,1.600,17.6,61.9
68.18,69.02,67.34,1.700,17.5,61.8
68.10,69.47,66.73,1.800,17.5,61.9
67.99,69.22,66.76,1.900,17.6,61.9
67.95,69.48,66.42,2.000,17.5,61.9
68.07,69.43,66.71,2.100,17.5,61.9
68.16,69.43,66.88,2.200,17.6,61.9
68.09,69.38,66.79,2.300,17.5,61.8
68.33,69.77,66.88,2.401,17.5,61.8
68.02,68.95,67.10,2.500,17.5,61.8
67.58,68.83,66.34,2.600,17.5,61.9
68.01,69.43,66.60,2.700,17.6,61.8
67.80,69.44,66.15,2.800,17.6,61.9
67.15,68.89,65.40,2.900,17.6,61.9
67.22,68.48,65.96,3.000,17.6,61.9
66.26,67.62,64.90,3.101,17.5,61.9
65.92,66.56,65.28,3.200,17.5,61.8
65.53,66.85,64.21,3.300,17.5,61.9
65.16,66.55,63.76,3.400,17.6,61.8
64.32,65.70,62.93,3.500,17.6,61.9
64.02,65.12,62.92,3.600,17.6,61.9
63.49,65.24,61.75,3.700,17.6,61.9
63.06,64.43,61.69,3.800,17.5,61.8
62.12,63.50,60.74,3.900,17.5,61.8
61.36,62.69,60.04,4.000,17.6,61.8
60.68,62.28,59.09,4.100,17.6,61.9
60.02,61.66,58.37,4.200,17.6,61.9
58.96,60.51,57.40,4.300,17.6,61.9
58.03,59.42,56.63,4.400,17.5,61.9
57.64,58.90,56.38,4.500,17.6,61.8
57.03,59.01,55.05,4.600,17.6,61.8
55.63,57.09,54.18,4.700,17.6,61.8
54.29,55.78,52.79,4.800,17.5,61.9
53.72,55.11,52.33,4.900,17.5,61.8
53.69,55.28,52.09,5.000,17.6,61.9
51.88,52.97,50.80,5.100,17.5,61.8
51.11,52.10,50.12,5.200,17.5,61.8
50.74,51.82,49.67,5.300,17.6,61.8
49.26,50.58,47.95,5.400,17.6,61.9
49.17,50.49,47.85,5.500,17.5,61.8
47.59,48.79,46.38,5.600,17.6,61.9
46.63,47.59,45.66,5.700,17.5,61.8
45.36,46.39,44.34,5.800,17.6,61.8
45.12,46.00,44.24,5.900,17.6,61.8
43.61,44.67,42.55,6.000,17.6,61.8
42.56,43.98,41.14,6.100,17.5,61.8
41.90,42.92,40.88,6.199,17.6,61.8
40.42,41.73,39.12,6.300,17.6,61.8
39.49,40.13,38.85,6.400,17.6,61.8
38.72,39.38,38.05,6.501,17.6,61.8
37.70,39.34,36.06,6.600,17.6,61.8
36.72,37.55,35.89,6.700,17.6,61.8
35.26,35.72,34.80,6.800,17.6,61.8
34.81,35.05,34.58,6.900,17.6,61.8
33.81,34.72,32.90,7.000,17.6,61.8
34.03,35.13,32.93,7.100,17.7,61.8
31.26,31.96,30.55,7.200,17.6,61.9
30.28,30.80,29.76,7.300,17.6,61.9
29.28,30.22,28.34,7.399,17.7,61.8
28.55,29.54,27.57,7.500,17.6,61.8
27.05,27.48,26.61,7.600,17.6,61.7
25.84,26.56,25.11,7.700,17.7,61.7
24.68,25.48,23.89,7.799,17.7,61.8
23.67,24.70,22.63,7.900,17.7,61.8
22.30,23.03,21.58,8.000,17.7,61.7
21.46,21.85,21.07,8.099,17.6,61.7
20.23,20.83,19.63,8.200,17.7,61.7
19.47,19.98,18.97,8.300,17.7,61.6
17.68,17.97,17.38,8.400,17.7,61.7
16.28,16.02,16.53,8.499,17.7,61.5
15.30,15.76,14.83,8.600,17.8,61.6
14.14,14.37,13.91,8.700,17.8,61.4
13.05,13.76,12.33,8.800,18.2,61.5
11.06,11.19,10.93,8.899,17.8,61.3
10.88,11.42,10.34,9.000,18.8,60.8
10.31,10.58,10.04,9.100,18.4,60.6
9.90,8.49,11.30,9.201,19.0,59.2
66.46,66.83,66.09,0.000,19.3,64.4
66.58,66.97,66.20,0.100,19.3,64.5
66.59,66.50,66.68,0.200,19.3,64.4
66.68,67.09,66.27,0.300,19.3,64.4
66.59,67.24,65.95,0.400,19.3,64.4
66.44,66.75,66.14,0.500,19.3,64.4
66.19,66.24,66.14,0.600,19.3,64.5
66.64,66.65,66.63,0.700,19.3,64.4
66.56,66.74,66.39,0.800,19.3,64.5
66.43,66.52,66.35,0.900,19.3,64.5
66.19,66.21,66.17,1.000,19.3,64.4
66.61,66.67,66.55,1.100,19.3,64.4
66.17,66.11,66.24,1.200,19.3,64.4
66.62,66.85,66.39,1.300,19.3,64.4
66.17,66.25,66.08,1.400,19.3,64.5
66.70,67.24,66.15,1.500,19.3,64.4
66.13,66.44,65.81,1.600,19.3,64.5
66.07,66.40,65.74,1.700,19.3,64.5
65.73,65.88,65.58,1.799,19.3,64.5
66.01,66.40,65.62,1.900,19.3,64.4
65.21,65.75,64.67,2.008,19.3,64.5
65.06,65.88,64.25,2.100,19.3,64.5
64.43,64.64,64.22,2.199,19.3,64.5
64.39,64.73,64.05,2.300,19.3,64.4
63.64,63.89,63.39,2.400,19.3,64.5
63.39,64.38,62.41,2.500,19.4,64.5
62.57,63.45,61.68,2.600,19.3,64.4
61.98,63.01,60.94,2.700,19.3,64.4
61.36,62.18,60.54,2.800,19.3,64.4
60.92,61.42,60.41,2.900,19.3,64.5
59.87,60.96,58.78,2.999,19.3,64.5
59.10,59.25,58.95,3.100,19.3,64.4
58.12,58.57,57.68,3.201,19.4,64.4
57.53,57.87,57.19,3.300,19.3,64.4
56.60,57.19,56.01,3.400,19.4,64.5
55.79,56.52,55.06,3.500,19.3,64.5
54.77,55.40,54.14,3.600,19.3,64.4
54.67,55.30,54.04,3.699,19.3,64.4
53.39,54.20,52.58,3.800,19.3,64.4
52.87,53.50,52.25,3.900,19.3,64.4
52.27,52.99,51.55,4.000,19.4,64.4
51.39,52.42,50.35,4.099,19.4,64.4
50.57,51.34,49.80,4.200,19.3,64.4
49.24,49.99,48.49,4.300,19.3,64.4
48.79,49.22,48.36,4.401,19.3,64.4
47.70,48.39,47.00,4.500,19.4,64.4
47.09,47.62,46.57,4.600,19.4,64.4
46.33,46.63,46.02,4.700,19.4,64.4
44.83,45.75,43.91,4.799,19.4,64.5
44.61,45.40,43.83,4.900,19.3,64.4
43.96,44.16,43.75,5.000,19.3,64.4
42.09,42.59,41.59,5.101,19.4,64.4
41.23,41.99,40.47,5.200,19.3,64.4
40.22,40.79,39.66,5.300,19.4,64.5
39.25,39.51,39.00,5.400,19.3,64.4
37.96,39.34,36.58,5.501,19.3,64.4
36.81,37.18,36.44,5.600,19.3,64.4
35.99,38.44,33.55,5.700,19.4,64.4
35.20,37.16,33.23,5.800,19.3,64.4
32.98,35.40,30.55,5.901,19.4,64.5
32.62,34.23,31.00,5.999,19.3,64.4
31.90,34.44,29.36,6.100,19.5,64.5
29.25,30.38,28.12,6.200,19.3,64.5
30.07,33.08,27.06,6.299,19.5,64.4
28.71,30.86,26.56,6.400,19.4,64.4
27.64,29.33,25.96,6.500,19.4,64.4
26.17,27.96,24.37,6.600,19.4,64.4
25.37,27.08,23.66,6.700,19.4,64.3
24.05,26.04,22.07,6.800,19.4,64.3
23.39,25.31,21.46,6.900,19.5,64.3
22.19,24.41,19.97,7.000,19.5,64.2
20.35,22.63,18.06,7.100,19.4,64.2
18.57,20.88,16.27,7.200,19.4,64.2
16.54,20.50,12.58,7.300,19.4,64.3
13.32,18.85,7.79,7.400,19.5,64.9
,,,7.499,,
,,,7.600,,
,,,7.700,,
,,,7.800,,
,,,7.900,,
,,,8.000,,
8.80,12.45,5.15,8.100,20.7,63.3
9.36,14.57,4.15,8.200,21.2,62.7
,,,8.300,,
19.71,29.80,9.62,8.400,32.7,64.3
14.74,15.29,14.18,8.500,23.4,56.6
25.22,23.13,27.31,8.600,24.9,55.4
