CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
71.27,71.01,71.54,0.000,17.8,62.2
71.62,71.39,71.85,0.100,17.8,62.2
71.78,71.57,71.99,0.199,17.8,62.1
71.82,71.72,71.92,0.299,17.8,62.1
71.92,71.84,71.99,0.400,17.8,62.1
71.51,71.12,71.91,0.500,17.8,62.2
71.44,71.17,71.71,0.599,17.8,62.2
71.56,71.71,71.41,0.699,17.8,62.2
71.49,70.95,72.04,0.800,17.8,62.2
71.51,70.62,72.41,0.900,17.8,62.1
71.32,71.09,71.54,0.999,17.8,62.2
71.57,71.13,72.01,1.099,17.8,62.1
71.59,70.95,72.23,1.203,17.8,62.1
71.60,71.12,72.08,1.300,17.8,62.2
71.54,71.25,71.83,1.399,17.8,62.2
71.45,71.34,71.56,1.499,17.8,62.1
71.19,70.99,71.40,1.600,17.8,62.2
71.47,71.31,71.63,1.699,17.8,62.1
70.79,70.38,71.20,1.799,17.8,62.2
70.04,70.05,70.03,1.900,17.8,62.2
69.42,69.51,69.34,2.000,17.8,62.2
68.62,68.29,68.96,2.099,17.8,62.2
68.06,67.17,68.96,2.202,17.8,62.2
67.25,66.78,67.72,2.299,17.8,62.1
66.75,66.66,66.85,2.400,17.8,62.1
65.33,65.42,65.25,2.499,17.8,62.2
64.83,64.94,64.71,2.600,17.8,62.1
63.79,63.49,64.08,2.700,17.9,62.1
63.23,63.50,62.97,2.799,17.9,62.2
61.96,61.56,62.37,2.899,17.8,62.1
61.07,60.84,61.30,2.999,17.8,62.1
59.98,60.10,59.87,3.100,17.8,62.2
58.92,58.87,58.98,3.199,17.8,62.2
58.53,58.63,58.43,3.299,17.8,62.1
57.02,57.70,56.33,3.400,17.8,62.1
55.75,56.10,55.41,3.500,17.9,62.2
54.63,54.64,54.61,3.599,17.9,62.2
53.65,53.70,53.61,3.699,17.9,62.1
53.17,52.94,53.39,3.800,17.9,62.1
52.32,52.01,52.63,3.900,17.8,62.1
51.48,51.13,51.82,3.999,17.9,62.2
50.38,49.78,50.99,4.100,17.9,62.1
48.95,48.46,49.43,4.200,17.8,62.1
48.34,48.05,48.63,4.299,17.9,62.1
47.12,47.43,46.81,4.399,17.8,62.1
46.28,46.07,46.49,4.499,17.8,62.1
45.38,45.10,45.66,4.600,17.8,62.1
44.55,43.85,45.25,4.699,17.8,62.1
44.17,44.15,44.18,4.800,18.0,62.1
43.77,44.10,43.44,4.900,18.1,61.9
43.62,43.17,44.08,5.000,18.3,61.7
42.95,43.12,42.77,5.099,18.5,61.5
42.72,43.34,42.11,5.200,18.7,61.4
43.03,43.53,42.54,5.299,18.8,61.2
43.81,43.56,44.06,5.400,19.0,60.9
43.74,43.91,43.57,5.499,19.2,60.6
42.87,42.81,42.92,5.599,19.3,60.4
42.75,42.87,42.62,5.700,19.5,60.2
42.75,42.25,43.26,5.799,19.7,59.9
43.10,42.81,43.38,5.899,19.9,59.6
43.32,43.00,43.65,6.000,20.1,59.5
43.33,44.30,42.36,6.101,20.3,59.2
42.57,42.92,42.22,6.199,20.6,58.9
43.30,43.41,43.19,6.299,20.8,58.6
42.44,41.78,43.10,6.400,21.0,58.4
42.45,41.90,42.99,6.500,21.2,58.2
