CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
51.41,51.03,51.80,7.300,29.2,51.7
71.58,71.27,71.89,0.000,16.2,60.8
71.36,71.15,71.56,0.100,16.2,60.8
71.21,70.71,71.71,0.200,16.2,60.8
70.99,70.16,71.81,0.300,16.2,60.8
71.36,71.09,71.64,0.400,16.2,60.8
71.45,71.18,71.73,0.501,16.2,60.8
71.07,71.07,71.06,0.600,16.2,60.8
71.32,70.95,71.68,0.700,16.2,60.8
71.32,71.03,71.61,0.800,16.2,60.8
70.99,70.37,71.60,0.900,16.2,60.8
71.23,70.64,71.82,1.000,16.2,60.8
71.34,71.18,71.50,1.100,16.2,60.8
71.29,71.09,71.48,1.200,16.2,60.8
71.24,70.44,72.03,1.300,16.2,60.8
71.23,71.01,71.45,1.400,16.2,60.8
70.61,70.24,70.98,1.500,16.2,60.8
70.58,70.15,71.02,1.600,16.2,60.8
70.33,69.81,70.85,1.700,16.2,60.8
69.29,68.56,70.02,1.800,16.2,60.8
68.59,67.67,69.51,1.900,16.2,60.8
67.87,67.31,68.43,2.001,16.2,60.8
67.27,66.81,67.72,2.100,16.2,60.8
67.07,66.62,67.51,2.200,16.2,60.8
65.73,65.02,66.45,2.300,16.2,60.8
65.05,64.12,65.98,2.400,16.2,60.8
64.17,63.58,64.76,2.500,16.2,60.8
63.02,62.05,63.99,2.600,16.2,60.8
62.42,62.08,62.75,2.700,16.2,60.8
61.40,60.43,62.37,2.800,16.2,60.8
60.28,59.17,61.39,2.900,16.2,60.8
59.54,59.19,59.89,3.001,16.2,60.8
58.67,57.62,59.72,3.100,16.2,60.8
57.11,56.25,57.97,3.200,16.2,60.8
56.24,55.13,57.34,3.300,16.2,60.8
55.44,54.30,56.57,3.400,16.2,60.8
53.82,52.83,54.81,3.499,16.2,60.8
53.24,52.80,53.69,3.600,16.3,60.8
52.22,51.87,52.57,3.700,16.5,60.8
52.85,52.56,53.14,3.800,16.8,60.7
52.63,51.70,53.55,3.900,17.2,60.6
53.16,52.40,53.92,4.000,17.5,60.5
52.76,52.60,52.91,4.100,17.7,60.5
51.69,51.12,52.26,4.200,18.0,60.5
52.70,52.04,53.37,4.300,18.2,60.4
52.74,52.62,52.85,4.400,18.4,60.3
52.34,52.28,52.39,4.500,18.7,60.3
52.89,52.25,53.52,4.600,18.9,60.2
52.67,52.19,53.15,4.700,19.2,60.1
52.62,52.30,52.93,4.800,19.5,60.1
53.23,53.50,52.95,4.900,19.8,59.9
52.09,51.59,52.58,5.000,19.9,59.9
52.77,52.44,53.10,5.100,20.2,59.8
52.54,53.19,51.89,5.200,20.4,59.6
52.72,52.46,52.97,5.300,20.6,59.4
52.74,52.70,52.78,5.400,20.8,59.2
52.75,52.86,52.63,5.500,21.0,59.0
52.86,52.63,53.09,5.600,21.2,58.7
53.05,52.36,53.75,5.700,21.4,58.5
52.85,52.42,53.27,5.801,21.6,58.4
52.72,51.92,53.52,5.900,21.9,58.1
52.66,52.04,53.27,6.000,22.1,58.0
52.72,52.26,53.18,6.100,22.4,57.9
52.75,52.80,52.70,6.199,22.7,57.7
52.61,52.56,52.66,6.300,23.0,57.4
51.88,51.69,52.07,6.400,23.4,57.1
52.44,52.41,52.46,6.501,23.6,57.0
52.44,52.51,52.36,6.599,24.0,56.7
52.46,52.08,52.85,6.700,24.2,56.4
52.26,52.48,52.04,6.800,24.5,56.1
52.33,52.42,52.23,6.900,24.9,55.8
52.44,52.56,52.32,7.000,25.2,55.5
52.26,52.57,51.95,7.100,25.6,55.2
51.36,51.19,51.54,7.201,25.9,54.8
51.88,51.55,52.20,7.301,26.3,54.5
51.91,51.98,51.84,7.400,26.7,54.2
51.35,51.63,51.07,7.500,27.1,53.8
51.26,51.64,50.88,7.600,27.5,53.4
50.95,50.84,51.06,7.699,28.0,53.1
50.99,50.72,51.26,7.800,28.5,52.6
70.03,68.93,71.13,0.000,19.4,64.1
69.90,69.55,70.26,0.100,19.4,64.1
69.64,68.95,70.34,0.199,19.4,64.1
69.97,68.81,71.14,0.300,19.4,64.0
69.80,69.04,70.55,0.400,19.4,64.1
69.96,69.36,70.56,0.500,19.4,64.1
69.85,69.01,70.69,0.600,19.4,64.0
69.83,69.05,70.60,0.700,19.4,64.0
69.91,68.73,71.09,0.800,19.4,64.0
69.93,68.69,71.16,0.900,19.4,64.1
70.07,69.33,70.80,1.000,19.4,64.0
69.71,68.66,70.77,1.100,19.4,64.0
69.89,68.94,70.84,1.200,19.4,64.1
69.97,69.13,70.80,1.300,19.4,64.1
69.96,69.41,70.50,1.399,19.4,64.0
70.28,69.79,70.78,1.500,19.4,64.1
70.03,69.18,70.88,1.600,19.4,64.0
70.20,69.65,70.75,1.699,19.4,64.1
70.15,69.64,70.65,1.800,19.4,64.0
69.89,68.65,71.12,1.900,19.4,64.0
69.76,68.96,70.56,2.000,19.4,64.0
69.95,69.47,70.42,2.100,19.4,64.1
70.05,69.27,70.84,2.200,19.4,64.1
69.99,68.89,71.09,2.300,19.4,64.1
69.78,69.12,70.45,2.400,19.4,64.0
69.30,68.53,70.07,2.499,19.4,64.1
69.51,68.99,70.03,2.600,19.4,64.0
68.80,67.71,69.89,2.700,19.4,64.0
68.39,67.61,69.16,2.804,19.4,64.1
67.64,67.23,68.04,2.899,19.4,64.0
66.57,65.78,67.36,3.000,19.4,64.1
66.15,65.56,66.74,3.100,19.4,64.1
65.16,64.71,65.61,3.199,19.4,64.0
64.41,64.13,64.69,3.299,19.4,64.1
63.86,63.62,64.10,3.400,19.4,64.0
62.84,63.07,62.61,3.500,19.4,64.0
61.89,61.47,62.31,3.599,19.4,64.0
60.93,60.78,61.08,3.700,19.4,64.0
59.53,59.28,59.78,3.800,19.4,64.0
58.97,58.93,59.01,3.900,19.4,64.0
57.83,57.44,58.22,3.999,19.4,64.0
56.98,57.02,56.94,4.100,19.4,64.0
55.28,55.06,55.50,4.200,19.4,64.0
55.00,54.41,55.58,4.300,19.4,64.0
53.43,53.27,53.58,4.399,19.4,64.0
53.10,53.52,52.69,4.500,19.5,64.0
52.24,52.49,51.99,4.600,19.5,63.8
52.38,52.91,51.86,4.700,19.6,63.6
53.05,53.57,52.53,4.800,19.7,63.4
52.69,52.82,52.56,4.900,19.8,63.2
52.51,52.16,52.86,5.000,19.9,63.0
52.69,52.64,52.74,5.100,20.0,62.8
52.38,53.17,51.58,5.200,20.1,62.5
52.04,52.13,51.96,5.300,20.3,62.3
52.56,53.53,51.60,5.400,20.4,62.1
53.13,53.17,53.10,5.499,20.5,61.9
53.11,53.54,52.69,5.600,20.7,61.7
52.55,53.26,51.83,5.700,20.8,61.4
52.12,53.01,51.24,5.800,21.0,61.2
51.61,51.94,51.29,5.899,21.2,61.0
52.41,53.39,51.44,6.000,21.3,60.7
52.69,53.61,51.78,6.100,21.5,60.4
52.36,53.22,51.51,6.200,21.6,60.2
52.07,52.59,51.54,6.299,21.7,60.0
51.77,52.30,51.24,6.400,21.9,59.8
51.72,51.53,51.90,6.500,22.0,59.6
52.21,52.11,52.30,6.600,22.2,59.4
51.61,51.95,51.27,6.699,22.4,59.2
51.94,52.18,51.70,6.800,22.5,59.0
52.14,52.00,52.28,6.900,22.8,58.7
51.29,52.31,50.28,6.999,23.0,58.5
51.26,51.12,51.39,7.100,23.2,58.3
51.73,52.02,51.44,7.200,23.4,58.0
51.49,51.63,51.34,7.300,23.6,57.8
51.08,51.45,50.71,7.399,23.8,57.5
51.08,51.15,51.00,7.500,24.0,57.2
50.98,50.54,51.42,7.600,24.3,56.9
50.43,50.25,50.60,7.700,24.6,56.7
50.50,49.86,51.15,7.800,24.8,56.3
50.20,50.28,50.13,7.900,25.1,56.1
49.38,49.72,49.04,8.000,25.4,55.8
49.07,48.78,49.37,8.100,25.6,55.5
48.89,48.82,48.96,8.199,25.9,55.1
48.38,48.40,48.35,8.299,26.3,54.7
67.46,67.50,67.42,0.000,20.5,65.2
67.09,67.27,66.91,0.100,20.5,65.3
67.23,66.93,67.52,0.199,20.5,65.3
67.44,67.81,67.07,0.299,20.5,65.3
67.45,67.63,67.27,0.400,20.6,65.3
67.46,67.54,67.37,0.500,20.5,65.2
67.25,67.69,66.82,0.599,20.5,65.2
67.23,67.25,67.21,0.699,20.5,65.2
67.26,66.97,67.54,0.800,20.5,65.2
67.24,67.00,67.49,0.900,20.5,65.2
67.07,67.26,66.89,0.999,20.5,65.3
67.20,67.72,66.68,1.099,20.5,65.3
67.34,67.24,67.43,1.200,20.5,65.2
67.24,67.19,67.28,1.299,20.5,65.3
67.22,67.46,66.97,1.399,20.6,65.2
67.53,67.44,67.61,1.500,20.5,65.2
67.03,66.81,67.24,1.600,20.5,65.2
67.61,67.67,67.56,1.699,20.5,65.3
67.19,67.52,66.87,1.799,20.5,65.3
67.28,67.34,67.22,1.900,20.5,65.3
67.25,67.28,67.22,2.000,20.5,65.2
67.31,66.95,67.68,2.099,20.5,65.2
66.49,66.06,66.92,2.199,20.5,65.2
66.29,66.38,66.20,2.300,20.5,65.2
65.56,65.86,65.26,2.400,20.5,65.2
65.01,65.65,64.37,2.499,20.5,65.3
64.29,64.65,63.94,2.599,20.6,65.2
63.14,63.52,62.77,2.700,20.6,65.2
62.36,63.06,61.66,2.800,20.5,65.3
62.00,63.30,60.70,2.899,20.6,65.2
60.54,61.15,59.93,3.000,20.6,65.2
59.85,60.48,59.22,3.100,20.6,65.2
58.72,59.68,57.76,3.199,20.6,65.2
58.07,58.83,57.31,3.299,20.6,65.2
57.08,57.90,56.25,3.400,20.6,65.2
55.52,56.23,54.81,3.500,20.5,65.3
54.64,55.26,54.03,3.599,20.6,65.3
53.14,53.59,52.70,3.700,20.6,65.2
53.53,54.04,53.01,3.800,20.6,65.2
51.88,52.50,51.25,3.900,20.6,65.2
51.37,52.27,50.46,3.999,20.7,65.0
51.67,52.64,50.70,4.099,20.7,64.8
51.56,52.75,50.36,4.200,20.8,64.5
51.97,52.99,50.95,4.299,20.9,64.1
51.11,52.04,50.19,4.399,21.0,63.9
51.52,52.51,50.53,4.499,21.1,63.7
51.78,52.33,51.23,4.600,21.1,63.4
52.41,53.84,50.98,4.699,21.3,63.1
52.32,53.08,51.56,4.800,21.3,62.9
50.93,51.43,50.43,4.900,21.5,62.7
51.58,52.60,50.56,5.000,21.6,62.5
51.11,51.15,51.06,5.100,21.6,62.1
50.92,51.73,50.10,5.199,21.8,61.9
50.79,51.44,50.14,5.299,21.9,61.6
51.51,52.56,50.46,5.400,22.1,61.3
51.39,52.21,50.56,5.500,22.2,61.1
51.18,51.66,50.70,5.599,22.3,60.9
51.41,52.49,50.34,5.700,22.4,60.6
51.17,52.23,50.11,5.800,22.6,60.3
50.94,51.62,50.26,5.899,22.7,60.1
51.24,51.65,50.82,5.999,22.9,59.8
51.11,51.41,50.81,6.099,23.0,59.6
51.29,51.29,51.30,6.200,23.2,59.4
50.14,51.02,49.25,6.299,23.3,59.2
50.75,50.55,50.96,6.399,23.5,58.9
50.57,50.85,50.28,6.499,23.7,58.7
50.20,50.64,49.76,6.600,24.0,58.5
50.00,50.83,49.17,6.699,24.2,58.2
49.60,50.64,48.56,6.799,24.4,57.9
49.68,50.21,49.16,6.899,24.6,57.6
49.42,50.11,48.74,7.000,24.8,57.3
48.93,49.02,48.83,7.099,25.0,57.0
48.89,49.16,48.62,7.199,25.3,56.7
48.16,48.63,47.68,7.300,25.6,56.3
47.77,48.00,47.54,7.400,25.8,56.0
47.76,48.88,46.65,7.499,26.1,55.6
47.43,47.11,47.76,7.599,26.4,55.1
45.93,46.93,44.93,7.700,26.8,54.8
45.95,46.51,45.38,7.799,27.0,54.4
45.21,45.67,44.76,7.899,27.4,53.9
44.89,45.15,44.63,7.999,27.7,53.6
66.99,66.61,67.38,0.000,19.1,63.0
66.56,66.03,67.10,0.100,19.1,63.0
66.72,66.41,67.02,0.199,19.1,63.1
66.37,65.75,67.00,0.300,19.1,63.1
66.39,65.56,67.22,0.400,19.1,63.0
66.30,65.60,66.99,0.500,19.1,63.1
66.89,66.80,66.98,0.599,19.1,63.1
66.47,66.68,66.26,0.700,19.1,63.1
66.48,66.07,66.89,0.800,19.1,63.0
66.63,66.21,67.05,0.900,19.1,63.1
66.35,65.86,66.84,1.000,19.1,63.1
66.34,65.54,67.13,1.100,19.1,63.1
66.75,66.01,67.50,1.200,19.1,63.0
66.50,66.72,66.29,1.300,19.1,63.1
65.51,65.17,65.84,1.400,19.1,63.1
64.99,64.23,65.75,1.500,19.1,63.1
64.48,64.36,64.60,1.600,19.1,63.1
64.33,64.47,64.18,1.700,19.1,63.1
63.35,63.12,63.59,1.800,19.1,63.0
62.22,61.79,62.64,1.900,19.1,63.0
61.64,61.75,61.52,2.000,19.1,63.1
60.82,60.74,60.90,2.099,19.2,63.0
59.54,59.17,59.91,2.200,19.1,63.1
58.89,58.89,58.88,2.300,19.1,63.1
58.15,57.89,58.41,2.400,19.1,63.0
57.16,56.98,57.35,2.499,19.1,63.1
56.02,56.14,55.91,2.600,19.1,63.0
55.03,54.86,55.20,2.700,19.1,63.1
54.22,54.15,54.29,2.801,19.1,63.0
52.75,53.24,52.25,2.900,19.1,63.0
52.33,52.31,52.35,3.000,19.1,63.0
51.73,51.38,52.07,3.100,19.2,63.0
51.43,52.07,50.78,3.200,19.3,62.9
51.49,51.69,51.29,3.300,19.4,62.7
51.55,51.10,52.00,3.400,19.5,62.6
51.33,51.00,51.67,3.500,19.6,62.4
50.51,50.58,50.44,3.600,19.8,62.2
50.81,49.89,51.74,3.700,19.9,62.0
51.01,50.39,51.62,3.800,20.1,61.9
50.90,50.87,50.93,3.900,20.3,61.6
50.40,49.95,50.85,4.000,20.4,61.5
50.27,49.83,50.71,4.100,20.6,61.2
50.86,50.72,51.01,4.200,20.8,61.0
50.57,50.22,50.92,4.300,21.0,60.8
50.65,50.41,50.89,4.400,21.2,60.7
50.04,50.04,50.03,4.500,21.3,60.5
50.17,50.78,49.55,4.600,21.6,60.3
50.12,51.16,49.08,4.700,21.7,60.1
49.98,50.39,49.56,4.799,21.9,60.0
49.51,49.18,49.83,4.900,22.1,59.8
49.89,50.42,49.36,5.000,22.3,59.6
50.19,49.97,50.41,5.099,22.5,59.4
49.27,48.92,49.62,5.200,22.7,59.2
49.41,49.44,49.37,5.300,22.9,59.0
49.30,49.61,48.99,5.400,23.2,58.9
48.98,48.88,49.07,5.499,23.4,58.7
48.89,48.79,48.99,5.600,23.6,58.4
48.86,48.75,48.96,5.700,23.9,58.2
48.83,49.02,48.64,5.801,24.2,58.0
47.96,48.17,47.76,5.900,24.4,57.8
47.65,47.32,47.98,6.000,24.6,57.5
48.07,47.83,48.31,6.100,24.9,57.3
47.41,47.66,47.15,6.199,25.2,57.0
47.39,47.46,47.32,6.300,25.6,56.7
46.31,47.21,45.41,6.400,25.9,56.4
46.27,46.65,45.89,6.500,26.2,56.1
45.19,46.17,44.22,6.600,26.5,55.7
44.69,45.50,43.89,6.700,26.8,55.4
43.88,44.25,43.51,6.800,27.2,55.0
43.49,44.02,42.96,6.900,27.6,54.6
43.16,44.28,42.05,7.000,27.9,54.2
41.98,42.48,41.48,7.099,28.2,53.8
40.42,40.98,39.86,7.200,28.8,53.4
71.34,70.15,72.52,0.000,18.0,61.8
70.67,69.78,71.56,0.100,18.0,61.8
70.54,70.23,70.85,0.200,18.0,61.8
69.59,68.84,70.33,0.300,18.0,61.8
69.28,68.53,70.04,0.400,18.1,61.8
68.11,66.85,69.37,0.501,18.0,61.8
67.17,65.80,68.54,0.600,18.0,61.8
66.60,65.74,67.46,0.700,18.0,61.8
65.64,64.98,66.29,0.800,18.0,61.8
64.99,64.14,65.84,0.901,18.0,61.8
63.89,63.30,64.48,1.000,18.0,61.8
63.16,62.32,64.00,1.100,18.0,61.8
62.21,61.59,62.84,1.200,18.0,61.8
61.32,60.34,62.30,1.301,18.0,61.8
60.34,59.05,61.63,1.400,18.0,61.7
59.64,58.65,60.63,1.500,18.0,61.7
58.57,57.78,59.36,1.600,18.0,61.8
57.68,56.54,58.83,1.700,18.0,61.7
56.40,55.17,57.63,1.800,18.0,61.7
55.60,54.59,56.61,1.900,18.0,61.7
54.86,54.22,55.49,2.000,18.1,61.8
53.18,52.22,54.13,2.100,18.0,61.7
52.80,51.66,53.94,2.200,18.0,61.8
51.96,51.74,52.18,2.300,18.1,61.8
50.92,50.39,51.44,2.401,18.1,61.7
49.19,48.70,49.68,2.500,18.1,61.7
48.89,48.25,49.54,2.600,18.1,61.7
48.51,47.88,49.14,2.700,18.1,61.8
46.98,46.38,47.59,2.800,18.1,61.8
46.53,45.85,47.20,2.900,18.1,61.8
45.60,45.01,46.19,3.000,18.1,61.7
44.83,43.78,45.87,3.101,18.1,61.8
43.90,43.30,44.50,3.200,18.1,61.8
42.78,42.24,43.32,3.300,18.1,61.8
41.80,41.30,42.30,3.400,18.1,61.8
40.42,39.93,40.91,3.501,18.1,61.7
39.91,39.73,40.09,3.600,18.0,61.8
38.41,38.27,38.55,3.700,18.1,61.8
37.67,36.90,38.43,3.800,18.1,61.6
37.39,36.94,37.83,3.901,18.3,61.6
36.96,37.01,36.92,4.000,18.3,61.6
36.68,36.57,36.79,4.100,18.4,61.5
35.68,35.81,35.54,4.200,18.5,61.4
34.86,35.42,34.30,4.301,18.5,61.4
32.82,32.55,33.09,4.400,18.5,61.3
32.83,33.03,32.63,4.500,18.6,61.2
31.50,30.92,32.09,4.600,18.6,61.1
30.61,31.09,30.12,4.700,18.7,61.2
29.09,28.80,29.38,4.800,18.6,61.1
28.19,28.31,28.07,4.900,18.8,61.1
27.09,27.26,26.91,5.000,18.8,61.1
26.11,25.96,26.26,5.100,18.8,61.0
25.12,25.21,25.03,5.200,19.0,61.0
23.85,23.59,24.11,5.300,19.1,60.9
22.50,21.85,23.14,5.400,19.1,60.9
21.51,21.75,21.27,5.500,19.5,60.9
20.52,20.75,20.29,5.601,19.8,60.6
19.84,20.52,19.16,5.700,20.0,60.3
18.77,19.37,18.17,5.800,20.4,60.0
18.06,18.02,18.09,5.900,20.8,59.8
18.14,18.28,17.99,6.000,21.0,59.6
17.01,17.61,16.40,6.100,21.2,59.3
15.29,15.32,15.25,6.201,21.5,59.0
13.87,14.13,13.60,6.300,21.8,58.6
12.73,11.87,13.59,6.400,22.0,58.0
12.92,11.12,14.72,6.500,22.6,57.4
12.26,10.13,14.39,6.600,23.0,56.9
73.25,72.97,73.53,0.000,18.7,62.5
73.02,72.86,73.17,0.101,18.7,62.5
73.50,73.66,73.34,0.200,18.7,62.5
73.46,73.36,73.57,0.300,18.7,62.5
73.02,72.79,73.25,0.401,18.7,62.5
73.22,72.93,73.51,0.501,18.7,62.5
72.81,72.84,72.78,0.600,18.7,62.5
73.27,73.09,73.45,0.700,18.7,62.5
73.60,73.75,73.46,0.801,18.7,62.5
73.08,72.88,73.28,0.901,18.7,62.4
73.07,72.87,73.27,1.000,18.7,62.5
73.40,73.52,73.29,1.100,18.7,62.5
73.24,73.12,73.35,1.201,18.7,62.5
72.88,72.56,73.20,1.300,18.7,62.5
73.32,73.04,73.61,1.401,18.7,62.5
73.23,73.20,73.26,1.500,18.7,62.5
73.32,73.18,73.45,1.601,18.7,62.5
73.28,73.01,73.55,1.700,18.7,62.5
73.16,73.58,72.74,1.800,18.7,62.5
73.46,73.08,73.85,1.900,18.7,62.5
73.19,73.14,73.24,2.001,18.7,62.5
73.20,73.18,73.22,2.100,18.7,62.5
72.75,72.41,73.10,2.200,18.7,62.5
73.29,73.36,73.23,2.301,18.7,62.5
73.02,72.75,73.29,2.401,18.7,62.5
73.18,73.32,73.05,2.500,18.7,62.5
73.47,73.44,73.51,2.600,18.7,62.5
73.13,73.05,73.22,2.701,18.7,62.5
72.95,72.80,73.10,2.800,18.7,62.5
73.15,72.90,73.40,2.900,18.7,62.5
73.35,73.24,73.47,3.000,18.7,62.5
72.99,72.77,73.22,3.101,18.7,62.5
72.58,72.55,72.62,3.200,18.7,62.5
71.90,71.37,72.43,3.300,18.7,62.5
71.28,70.89,71.66,3.400,18.7,62.5
70.52,70.41,70.62,3.501,18.7,62.5
70.02,69.66,70.37,3.600,18.7,62.5
68.62,68.59,68.65,3.700,18.7,62.5
67.76,67.78,67.74,3.801,18.7,62.5
66.82,66.40,67.25,3.901,18.7,62.5
66.38,66.30,66.46,4.000,18.7,62.5
65.75,65.80,65.69,4.100,18.7,62.5
64.59,64.61,64.57,4.201,18.7,62.5
63.52,63.40,63.64,4.301,18.7,62.5
63.01,63.27,62.75,4.400,18.7,62.5
61.78,61.88,61.67,4.500,18.7,62.5
60.79,60.86,60.72,4.600,18.7,62.5
59.74,59.68,59.79,4.701,18.7,62.5
58.28,58.49,58.08,4.800,18.7,62.5
57.72,57.50,57.93,4.900,18.7,62.5
56.68,56.81,56.54,5.000,18.7,62.5
55.32,54.66,55.97,5.101,18.7,62.5
54.83,54.48,55.17,5.200,18.7,62.5
53.33,52.66,53.99,5.300,18.7,62.5
52.73,52.97,52.50,5.400,18.7,62.5
50.85,51.12,50.58,5.501,18.7,62.5
50.01,50.11,49.90,5.600,18.7,62.5
49.43,49.68,49.18,5.700,18.7,62.5
49.23,49.00,49.47,5.801,18.7,62.5
47.19,46.83,47.56,5.901,18.7,62.5
46.19,46.02,46.35,6.000,18.7,62.5
45.77,46.09,45.45,6.100,18.7,62.5
44.87,45.64,44.10,6.200,18.7,62.5
44.28,43.89,44.67,6.301,18.7,62.5
43.18,43.23,43.13,6.400,18.7,62.5
42.55,42.62,42.48,6.500,18.7,62.5
41.53,41.49,41.57,6.601,18.7,62.5
39.96,40.55,39.37,6.700,18.8,62.5
38.85,38.93,38.78,6.800,18.7,62.5
38.72,39.12,38.32,6.900,18.7,62.5
37.42,38.18,36.67,7.001,18.8,62.5
37.28,37.09,37.46,7.100,18.8,62.3
34.44,33.83,35.04,7.200,18.8,62.4
35.74,35.30,36.18,7.300,18.9,62.2
34.16,33.51,34.82,7.401,19.0,62.2
34.01,34.10,33.92,7.500,19.1,62.1
32.09,32.85,31.34,7.600,19.2,62.1
30.87,31.16,30.57,7.700,19.1,62.0
31.07,31.41,30.74,7.800,19.2,61.9
30.07,30.76,29.38,7.901,19.3,61.8
28.88,28.68,29.08,8.000,19.3,61.8
27.94,27.84,28.04,8.100,19.4,61.7
26.92,26.85,27.00,8.201,19.5,61.6
26.07,25.56,26.58,8.300,19.6,61.5
24.68,24.42,24.93,8.400,19.7,61.5
23.85,23.66,24.04,8.500,19.8,61.4
22.65,22.76,22.54,8.600,20.0,61.2
21.54,21.46,21.62,8.701,19.9,61.1
20.13,20.13,20.13,8.801,20.2,61.0
19.02,19.08,18.95,8.900,20.2,60.9
18.22,18.30,18.14,9.000,20.3,60.7
16.96,16.61,17.30,9.100,20.5,60.5
15.66,15.98,15.34,9.201,20.7,60.5
14.34,14.62,14.07,9.300,21.0,60.4
12.02,12.41,11.64,9.400,21.1,60.2
73.64,73.72,73.56,0.000,18.3,62.1
73.32,73.10,73.53,0.100,18.3,62.1
73.38,73.11,73.65,0.200,18.3,62.1
73.58,73.60,73.56,0.300,18.3,62.1
73.22,72.93,73.51,0.400,18.3,62.1
73.46,73.38,73.53,0.500,18.3,62.1
73.36,73.07,73.65,0.600,18.3,62.1
73.62,73.37,73.88,0.700,18.3,62.1
73.02,73.35,72.70,0.800,18.3,62.1
73.10,73.00,73.20,0.901,18.3,62.1
73.16,73.16,73.15,1.000,18.3,62.1
72.90,72.60,73.20,1.100,18.3,62.1
72.71,72.43,72.99,1.200,18.3,62.1
71.50,71.47,71.54,1.301,18.3,62.1
71.15,70.89,71.42,1.400,18.3,62.1
69.85,69.28,70.42,1.500,18.3,62.1
69.93,70.03,69.84,1.600,18.4,62.1
68.64,68.70,68.58,1.700,18.3,62.1
67.32,67.24,67.39,1.800,18.3,62.1
66.88,66.73,67.04,1.900,18.3,62.1
65.88,65.91,65.86,2.000,18.3,62.1
65.21,64.91,65.52,2.100,18.3,62.1
64.17,63.88,64.47,2.200,18.4,62.1
63.02,63.06,62.97,2.300,18.3,62.1
62.21,62.13,62.30,2.400,18.3,62.1
