CA(m) [°],CA(l) [°],CA(r) [°],Elapsed time [s],Three-phase point (l) [mm],Three-phase point (r) [mm]
73.40,73.71,73.08,0.000,18.6,63.9
73.35,73.16,73.53,0.100,18.7,63.9
72.87,72.80,72.95,0.199,18.7,63.9
72.52,72.45,72.59,0.300,18.7,63.9
72.23,72.12,72.35,0.400,18.7,63.9
72.15,72.01,72.29,0.500,18.7,63.9
71.14,70.95,71.33,0.600,18.7,63.9
70.55,70.43,70.67,0.700,18.7,63.9
69.76,69.86,69.67,0.800,18.6,63.9
68.75,68.51,68.98,0.900,18.7,63.9
67.99,67.88,68.09,1.000,18.6,63.9
67.09,67.03,67.15,1.100,18.6,63.9
66.58,66.51,66.65,1.200,18.7,63.9
65.60,65.97,65.23,1.300,18.6,63.9
64.54,64.46,64.61,1.400,18.6,63.8
63.94,63.82,64.06,1.500,18.7,63.9
63.04,63.24,62.83,1.600,18.7,63.9
62.02,62.34,61.69,1.700,18.7,63.9
60.98,61.56,60.39,1.800,18.7,63.9
59.59,59.34,59.85,1.900,18.7,63.9
58.79,58.66,58.91,2.000,18.7,63.8
58.27,57.76,58.77,2.100,18.7,63.9
57.26,57.52,57.00,2.200,18.6,63.9
56.09,55.93,56.24,2.300,18.7,63.9
55.17,54.99,55.34,2.400,18.6,63.9
54.44,54.14,54.73,2.500,18.6,63.9
53.39,53.87,52.91,2.600,18.7,63.9
53.52,53.67,53.38,2.700,18.7,63.8
52.26,52.04,52.48,2.799,18.7,63.8
52.30,52.61,51.99,2.900,18.8,63.8
52.67,52.64,52.71,3.000,18.9,63.7
52.63,52.89,52.36,3.101,19.1,63.5
51.52,52.04,51.00,3.199,19.3,63.5
52.73,52.25,53.21,3.300,19.5,63.3
51.73,52.04,51.41,3.400,19.7,63.3
52.02,51.59,52.45,3.500,19.9,63.1
52.35,52.55,52.15,3.599,20.1,63.0
52.24,52.56,51.92,3.700,20.3,62.8
52.33,52.48,52.18,3.800,20.6,62.7
52.71,52.74,52.68,3.901,20.7,62.5
51.93,51.84,52.03,4.000,20.9,62.4
52.75,53.37,52.14,4.100,21.0,62.2
52.55,52.69,52.41,4.200,21.2,62.0
52.13,52.31,51.94,4.299,21.4,61.8
52.72,52.92,52.52,4.400,21.6,61.7
52.13,52.53,51.72,4.500,21.8,61.5
52.32,52.41,52.23,4.600,22.0,61.3
52.40,52.11,52.68,4.699,22.2,61.1
52.15,51.98,52.32,4.800,22.4,60.9
52.51,52.50,52.53,4.900,22.6,60.6
52.74,53.25,52.23,5.000,22.8,60.3
51.91,52.39,51.43,5.099,23.0,60.0
52.24,52.91,51.57,5.200,23.2,59.7
52.11,52.66,51.57,5.300,23.4,59.4
52.01,51.97,52.05,5.400,23.6,59.2
52.71,53.11,52.30,5.500,23.8,58.9
52.60,52.46,52.75,5.600,24.0,58.7
51.78,52.12,51.44,5.700,24.3,58.4
52.59,52.62,52.57,5.799,24.5,58.1
51.66,51.49,51.83,5.900,24.7,57.8
51.81,51.62,52.00,6.000,24.9,57.5
52.75,52.86,52.64,6.100,25.2,57.2
52.50,52.14,52.86,6.200,25.5,56.9
52.19,52.46,51.93,6.300,25.9,56.6
52.36,52.68,52.03,6.400,26.1,56.2
52.42,52.69,52.15,6.500,26.4,55.8
52.72,52.65,52.79,6.600,26.8,55.4
52.04,51.80,52.28,6.700,27.0,54.9
51.39,50.99,51.79,6.800,27.3,54.5
52.78,52.80,52.76,6.900,27.7,54.0
52.37,52.25,52.49,7.000,28.0,53.4
52.65,52.24,53.06,7.100,28.3,52.8
52.28,51.98,52.59,7.200,28.8,52.3
